Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22u,
C3,0603,1,1u,
C4,0603,1,0.1u,
D1,0603,1,LED_POWER,
D2,0603,1,LED_TXT,
D3,0603,1,LED_RXD,
F1,1206,1,Polyfuse,
J1,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
J2,PinSocket_1x06_P2.54mm_Horizontal,1,ESP32_DOWNLOAD_CON,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2, R3",0603,3,1k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,RESET,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,FLASH,
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
